0,1,2,3
Product ID,21A,22B,23C
,Yield,Yield,Yield
02-28-95,0.9058,0.9084,0.9055
03-07-95,0.9058,0.9085,0.9055
03-14-95,0.9059,0.9085,0.9055000000000001
03-21-95,0.9059,0.908,0.9052
03-28-95,0.9059,0.9085,0.9054
04-04-95,0.9059,0.9084,0.9047
04-11-95,0.9059,0.9085,0.9055
04-18-95,0.9056,0.9082,0.9047
04-25-95,0.9059,0.9085,0.9045
05-02-95,0.9059,0.9085,0.9055
05-09-95,0.9059000000000001,0.9083,0.9051
05-16-95,0.9059,0.9085,0.9048
05-23-95,0.9059,0.9085,0.9055
05-30-95,0.9059,0.9085,0.9055
06-06-95,0.9059,0.9084,0.9051
06-13-95,0.9058999999999999,0.9085,0.9049
06-20-95,0.9059,0.9085,0.9045
06-27-95,0.9059,0.9083,0.9054
07-04-95,0.9059,0.9085,0.9055
07-11-95,0.9059000000000001,0.9085,0.9047
07-18-95,0.9059,0.9084,0.9042
07-25-95,0.9059,0.9081,0.9051
08-01-95,0.9056,0.9085,0.9051
08-08-95,0.9059,0.9084,0.905
08-15-95,0.9059,0.9084,0.9051
08-22-95,0.9059,0.9085,0.9055
08-29-95,0.9059,0.9085,0.9055
09-05-95,0.9059,0.9085,0.9055
09-12-95,0.9058999999999998,0.9085,0.9055
09-19-95,0.9059,0.9084,0.9055
09-26-95,0.9059,0.9085,0.9055
10-03-95,0.9059,0.9085,0.9055000000000001
10-10-95,0.9057,0.9083,0.9055
10-17-95,0.9059,0.9084,0.9055000000000001
10-24-95,0.9059,0.9085,0.9055000000000001
10-31-95,0.9058999999999999,0.9084985021832134,0.9055000000000001
11-07-95,0.9059,0.9085,0.9055
11-14-95,0.9059000000000001,0.9085,0.9055
11-21-95,0.9059,0.9085,0.9055
11-28-95,0.9058980049882966,0.9085,0.9055
12-05-95,0.9059,0.9085,0.9054951863436265
12-12-95,0.9058931492811019,0.9085,0.9055
12-19-95,0.9059,0.9084589914187429,0.9055
12-26-95,0.9058985519509822,0.9084704480856766,0.9055
01-02-95,0.9059,0.9085,0.9055
01-09-96,0.9059,0.9085,0.9055
01-16-96,0.9059,0.9085,0.9055
01-23-96,0.9059,0.9085,0.9055
01-30-96,0.9059,0.9084816032947953,0.9055
02-06-96,0.9059,0.9084922861628217,0.9055
02-13-96,0.9059,0.9084760459299327,0.9055
02-20-96,0.9058999999999999,0.9085,0.9055
02-27-96,0.9059,0.9084732080563526,0.9055
